Gender,Event,Year,Medal,Result
M,100M Men,2024,G,9.79
M,100M Men,2024,B,9.81
M,200M Men,2024,G,19.46
M,200M Men,2024,B,19.70
M,400M Men,2024,G,43.40
M,400M Men,2024,B,43.74
M,800M Men,2024,G,1:41.19
M,800M Men,2024,B,1:41.50
M,1500M Men,2024,G,3:27.65
M,1500M Men,2024,B,3:27.80
W,100M Women,2024,G,10.72
W,100M Women,2024,B,10.92
W,200M Women,2024,G,21.83
W,200M Women,2024,B,22.20
W,400M Women,2024,G,48.17
W,400M Women,2024,B,48.98
W,800M Women,2024,G,1:56.72
W,800M Women,2024,B,1:57.42
W,1500M Women,2024,G,3:51.29
W,1500M Women,2024,B,3:52.61
